hospital_id,city,hospital_name,hospital_registry_type,operator_name,street,automatic_category,automatic_acute_relevance_weight,automatic_classification_reason,verified_category,verified_acute_relevance_weight,verification_status,source_type,source_url,review_notes,suggested_category,suggested_acute_relevance_weight,suggested_source_type,suggested_source_url,suggested_review_notes,suggestion_confidence
9131318,Dortmund,Klinikum Dortmund,Plankrankenhaus,Klinikum Dortmund gGmbH,Beurhausstraße 40,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9781239,Dortmund,Klinikum Westfalen,Plankrankenhaus,Klinikum Westfalen GmbH,Am Knappschaftskrankenhaus 1,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131329,Dortmund,Knappschaftskrankenhaus Lütgendortmund,Plankrankenhaus,Klinikum Westfalen GmbH,Volksgartenstraße 40,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131337,Dortmund,LWL-Klinik Dortmund,Plankrankenhaus,Landschaftsverband Westfalen-Lippe (LWL),Marsbruchstraße 179,psychiatric_psychosomatic,0.0,Psychiatric/psychosomatic or LVR/LWL provider detected.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'lwl' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131338,Dortmund,LWL-Klinik Dortmund Elisabeth-Klinik,Plankrankenhaus,Landschaftsverband Westfalen-Lippe (LWL),Marsbruchstraße 162a,psychiatric_psychosomatic,0.0,Psychiatric/psychosomatic or LVR/LWL provider detected.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'lwl' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131320,Dortmund,Marien-Hospital Dortmund-Hombruch,Plankrankenhaus,SJG St. Paulus GmbH,Gablonzstraße 9,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'marien hospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131322,Dortmund,St. Elisabeth-Krankenhaus,Plankrankenhaus,SJG St. Paulus GmbH,Kurler Straße 130,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131321,Dortmund,St. Johannes-Hospital,Plankrankenhaus,SJG St. Paulus GmbH,Johannesstraße 9-17,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'st johannes' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131326,Dortmund,St. Lukas Klinikum,Plankrankenhaus,Katholische St. Lukas Gesellschaft mbH,Zollernstraße 40,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-3,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120302,Duisburg,BG Klinikum Duisburg gGmbH,Plankrankenhaus,BG Klinikum Duisburg gGmbH,Großenbaumer Allee 250,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120312,Duisburg,Ev. Klinikum Niederrhein,Plankrankenhaus,Evangelisches Klinikum Niederrhein gGmbH,Fahrner Str. 133-135,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120314,Duisburg,Ev. Krankenhaus Bethesda,Plankrankenhaus,Evangelisches Klinikum Niederrhein gGmbH,Heerstr. 219,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120305,Duisburg,Helios Klinikum Duisburg,Plankrankenhaus,Helios Klinikum Duisburg GmbH,Dieselstraße 185,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120304,Duisburg,Helios Rhein-Ruhr-Klinikum GmbH,Plankrankenhaus,Helios Rhein-Ruhr-Kliniken GmbH,Albertus-Magnus-Str. 33,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120315,Duisburg,Johanniter-Krankenhaus Rheinhausen GmbH,Plankrankenhaus,Johanniter GmbH,Kreuzacker 1-7,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1120301,Duisburg,Sana Klinik Duisburg,Plankrankenhaus,Sana Kliniken Duisburg GmbH,Zu den Rehwiesen 9-11,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-8,Suggested by deterministic general/acute-care keyword: matched 'sana' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130216,Essen,Alfried-Krupp-Krankenhaus,Plankrankenhaus,Alfried Krupp von Bohlen und Halbach Krankenhaus gemeinnützige GmbH,Alfried-Krupp-Str. 21,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130212,Essen,Alfried-Krupp-Krankenhaus Steele,Plankrankenhaus,Alfried Krupp von Bohlen und Halbach Krankenhaus gemeinnützige GmbH,Hellweg 100,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130209,Essen,Elisabeth-Krankenhaus Essen GmbH,Plankrankenhaus,Elisabeth-Krankenhaus Essen GmbH,Klara-Kopp-Weg 1,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130204,Essen,Kath. Kliniken Ruhrhalbinsel,Plankrankenhaus,Contilia GmbH,Heidbergweg 22-24,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'kath kliniken' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130205,Essen,Kath. Klinikum Essen,Plankrankenhaus,Katholisches Klinikum Essen GmbH,Hospitalstr. 24,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130213,Essen,Kliniken Essen-Mitte,Plankrankenhaus,KEM | Evang. Kliniken Essen-Mitte gGmbH,Henricistr. 92,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'kem' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130220,Essen,LVR-Klinikum Essen,Plankrankenhaus,Landschaftsverband Rheinland,Virchowstraße 174,psychiatric_psychosomatic,0.0,Psychiatric/psychosomatic or LVR/LWL provider detected.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'lvr' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130217,Essen,Ruhrlandklinik Essen - Westdeutsches Lungenzentrum am Universitätsklinikum Essen,Plankrankenhaus,Universitätsmedizin Essen,Tüschener Weg 40,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'universitatsklinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130203,Essen,St. Josef Krankenhaus Essen-Werden GmbH,Plankrankenhaus,Universitätsmedizin Essen,Propsteistr. 2,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1130201,Essen,Universitätsklinikum Essen AöR,Hochschulklinik/Universitätsklinikum,Universitätsmedizin Essen,Hufelandstr. 55,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/essen,Suggested by deterministic general/acute-care keyword: matched 'universitatsklinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5130802,Gelsenkirchen,Bergmannsheil und Kinderklinik Buer,Plankrankenhaus,Bergmannsheil und Kinderklinik Buer GmbH,Schernerweg 4,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-15,Suggested by deterministic general/acute-care keyword: matched 'bergmannsheil' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5130806,Gelsenkirchen,Elisabeth Krankenhaus Gelsenkirchen,Plankrankenhaus,St. Augustinus Gelsenkirchen GmbH,Cranger Strasse 226,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-15,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5130809,Gelsenkirchen,Ev. Klinikum Gelsenkirchen,Plankrankenhaus,Ev. Klinikum Gelsenkirchen GmbH,Munckelstraße 27,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-15,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5130807,Gelsenkirchen,Marienhospital Gelsenkirchen GmbH,Plankrankenhaus,St. Augustinus Gelsenkirchen GmbH,Virchowstraße 122,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-15,Suggested by deterministic general/acute-care keyword: matched 'marienhospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5130808,Gelsenkirchen,St. Marien-Hospital Buer GmbH,Plankrankenhaus,St. Augustinus Gelsenkirchen GmbH,Mühlenstraße 5-9,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-15,Suggested by deterministic general/acute-care keyword: matched 'marien hospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9141405,Hagen,AGAPLESION Allgemeines Krankenhaus Hagen,Plankrankenhaus,AGAPLESION gAG und Krankenhaus-Gesellschaft Hagen,Grünstr. 35,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/hagen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9141406,Hagen,Ev. Krankenhaus Hagen-Haspe,Plankrankenhaus,Evangelisches Krankenhaus Hagen-Haspe gem. GmbH,Brusebrinkstraße 20,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/hagen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9141401,Hagen,Kath. Krankenhaus Hagen,Plankrankenhaus,Katholisches Krankenhaus Hagen gem. GmbH,Dreieckstraße 17,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/hagen,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9141408,Hagen,VAMED Klinik Hagen-Ambrock,Plankrankenhaus,VAMED Klinik Hagen-Ambrock GmbH Sitz Hagen,Ambrocker Weg 60,unknown_needs_review,0.5,No clear automatic rule matched.,specialized_or_partial_acute,0.5,verified,official_hospital_website,https://www.vitrea-gesundheit.de/kliniken/hagen-ambrock/unser-angebot/ihre-reha-bei-uns/neurologie/,"Manual verification 2026-06-03: official VITREA/VAMED Hagen-Ambrock neurology page describes neurological/neurosurgical rehabilitation, pneumology, 24-bed ICU, and cross-disciplinary early rehabilitation; specialized/partial acute, not full-spectrum general acute care.",,,,,,
9161345,Herne,Ev. Krankenhaus Herne,Plankrankenhaus,Ev. Krankenhausgemeinschaft Herne | Castrop-Rauxel gGmbH,Wiescherstraße 24,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/herne,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9161343,Herne,Marienhospital Herne,Hochschulklinik/Universitätsklinikum,St. Elisabeth Gruppe - Katholische Kliniken Rhein-Ruhr GmbH,Hölkeskampring 40,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/herne,Suggested by deterministic general/acute-care keyword: matched 'marienhospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9161351,Herne,Rheumazentrum Ruhrgebiet,Plankrankenhaus,St. Elisabeth Gruppe - Katholische Kliniken Rhein-Ruhr GmbH,Claudiusstraße 45,unknown_needs_review,0.5,No clear automatic rule matched.,specialized_or_partial_acute,0.5,verified,official_hospital_website,https://www.rheumazentrum-ruhrgebiet.de/untermenue/wir.html,"Manual verification 2026-06-03: official Rheumazentrum page describes Germanys largest highly specialized acute rheumatology Fachklinik, 148 plan beds, and 24h access for acutely affected patients; specialized/partial acute.",,,,,,
9161341,Herne,St. Anna-Hospital,Plankrankenhaus,St. Elisabeth Gruppe - Katholische Kliniken Rhein-Ruhr GmbH,Hospitalstr. 19,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/herne,Suggested by deterministic general/acute-care keyword: matched 'st anna' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9161342,Herne,St. Marien-Hospital Eickel,Plankrankenhaus,St. Elisabeth Gruppe - Katholische Kliniken Rhein-Ruhr GmbH,Marienstr. 2,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/herne,Suggested by deterministic general/acute-care keyword: matched 'marien hospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1170226,Mülheim an der Ruhr,Ev. Krankenhaus Mülheim an der Ruhr,Plankrankenhaus,Ev. Krankenhaus Mülheim an der Ruhr GmbH,Wertgasse 30,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-6,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1170225,Mülheim an der Ruhr,St. Marien-Hospital,Plankrankenhaus,St. Marien-Hospital Mülheim an der Ruhr GmbH,Kaiserstrasse 50,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-6,Suggested by deterministic general/acute-care keyword: matched 'marien hospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
1190235,Oberhausen,AMEOS Klinika Oberhausen,Plankrankenhaus,AMEOS Krankenhausgesellschaft Oberhausen mbH,Wilhelmstraße 34,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote-7,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
